date,equity,cash,peak,drawdown,daily_return
2025-04-17,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-21,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-22,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-23,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-24,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-25,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-28,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-29,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-04-30,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-02,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-05,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-06,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-07,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-08,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-09,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-12,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-13,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-14,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-15,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-16,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-19,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-05-20,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
